"Rank","Root Domain","Linking Root Domains","Domain Authority"
"286","abcnews.go.com","585,704","93"
"287","unicef.org","200,814","93"
"288","eventbrite.com","653,178","93"
"289","bloglovin.com","542,929","93"
"290","yadi.sk","177,518","93"
"291","ikea.com","368,103","93"
"292","qq.com","4,178,601","93"
"293","rapidshare.com","290,172","93"
"294","wiley.com","631,235","93"
"295","yelp.com","940,407","93"
"296","amazon.fr","255,897","93"
"297","search.yahoo.com","463,635","93"
"298","www.gov.br","156,619","93"
"299","nypost.com","426,864","93"
"300","www.wikipedia.org","541,047","93"
"301","academia.edu","393,030","93"
"302","discord.gg","352,054","93"
"303","berkeley.edu","497,016","93"
"304","twitch.tv","465,542","93"
"305","radiofrance.fr","125,596","93"
"306","urbandictionary.com","259,587","93"
"307","rakuten.co.jp","644,278","93"
"308","weibo.com","1,404,955","93"
"309","mashable.com","441,851","93"
"310","newyorker.com","434,681","93"
"311","instagram.com","26,948,822","93"
"312","gizmodo.com","409,692","93"
"313","plos.org","309,354","93"
"314","news.com.au","314,515","93"
"315","tripadvisor.com","732,382","93"
"316","disqus.com","937,170","93"
"317","akamaihd.net","592,206","93"
"318","php.net","664,752","93"
"319","oracle.com","606,070","93"
"320","oup.com","417,722","93"
"321","quora.com","443,634","93"
"322","ja.wikipedia.org","367,088","93"
"323","express.co.uk","382,650","93"
"324","xinhuanet.com","594,775","93"
"325","bing.com","1,024,496","93"
"326","whitehouse.gov","403,532","93"
"327","google.nl","252,088","93"
"328","ft.com","500,180","93"
"329","ipv4.google.com","336,623","93"
"330","as.com","158,492","93"
"331","lg.com","143,744","93"
"332","akamaized.net","329,121","93"
"333","doi.org","519,019","93"
"334","unsplash.com","581,587","93"
"335","xing.com","494,618","93"
"336","id.wikipedia.org","538,723","93"
"337","detik.com","425,755","93"
"338","wikihow.com","614,141","93"
"339","stanford.edu","645,058","93"
"340","netflix.com","367,899","93"
"341","freepik.com","344,737","93"
"342","alexa.com","320,547","93"
"343","rtve.es","189,423","93"
"344","imageshack.com","456,694","93"
"345","www.canalblog.com","408,339","93"
"346","outlook.com","366,841","93"
"347","themeforest.net","533,293","93"
"348","ietf.org","392,095","93"
"349","hubspot.com","335,388","93"
"350","cnil.fr","223,199","93"
"351","code.google.com","323,702","93"
"352","picasa.google.com","257,575","93"
"353","zendesk.com","523,714","93"
"354","rt.com","320,497","93"
"355","pbs.org","546,661","93"
"356","google.ca","342,294","93"
"357","e-monsite.com","147,796","93"
"358","zdf.de","145,864","93"
"359","finance.yahoo.com","484,594","93"
"360","sciencemag.org","325,874","93"
"361","addtoany.com","705,210","93"
"362","cnbc.com","573,156","93"
"363","godaddy.com","2,524,430","93"
"364","pexels.com","339,152","93"
"365","lefigaro.fr","226,617","93"
"366","kickstarter.com","486,198","93"
"367","www.livejournal.com","3,013,420","93"
"368","unesco.org","339,486","93"
"369","dw.com","398,511","93"
"370","sendspace.com","153,822","93"
"371","hp.com","485,204","93"
"372","harvard.edu","767,450","93"
"373","photobucket.com","1,754,648","93"
"374","usnews.com","462,074","93"
"375","thetimes.co.uk","419,796","93"
"376","rambler.ru","929,575","93"
"377","mega.nz","188,002","93"
"378","googleblog.com","267,842","93"
"379","secureserver.net","946,574","93"
"380","npr.org","857,513","93"
"381","nbcnews.com","697,607","93"
"382","fb.me","336,788","93"
"383","webnode.page","493,143","93"
"384","surveymonkey.com","451,898","93"
"385","elmundo.es","242,189","93"
"386","arxiv.org","249,299","93"
"387","gmail.com","214,825","93"
"388","theverge.com","412,590","93"
"389","gooyaabitemplates.com","514,312","93"
"390","about.com","750,680","93"
"391","photos1.blogger.com","881,861","93"
"392","deezer.com","165,847","93"
"393","psychologytoday.com","386,685","93"
"394","vkontakte.ru","342,495","93"
"395","iso.org","213,835","92"
"396","pcmag.com","303,035","92"
"397","allrecipes.com","225,741","92"
"398","rbc.ru","131,380","92"
"399","messenger.com","121,623","92"
"400","udemy.com","199,216","92"
"401","greenpeace.org","190,388","92"
"402","lego.com","154,247","92"
"403","ox.ac.uk","280,797","92"
"404","digitaltrends.com","245,215","92"
"405","elsevier.com","310,646","92"
"406","reg.ru","406,011","92"
"407","ndtv.com","218,872","92"
"408","nsw.gov.au","228,925","92"
